Time (s)	Load Cell (N)	Strain Gauge 1 (ustrain)	Strain Gauge 2 (ustrain)	Strain Gauge 3 (ustrain)
10.800	-4.736	-0.000	-0.000	-0.000	-3.606
10.900	-4.714	-0.000	-0.000	-0.000	-3.745
11.000	-4.608	-0.000	-0.000	-0.000	-3.745
11.100	-4.588	-0.000	-0.000	-0.000	-3.884
11.200	-4.524	-0.000	-0.000	-0.000	-3.884
11.300	-4.499	-0.000	-0.000	-0.000	-3.884
11.400	-4.481	-0.000	-0.000	-0.000	-3.953
11.500	-4.455	-0.000	-0.000	-0.000	-3.953
11.600	-4.443	-0.000	-0.000	-0.000	-3.953
11.700	-4.423	-0.000	-0.000	-0.000	-4.022
11.800	-4.400	-0.000	-0.000	-0.000	-4.091
11.900	-4.388	-0.000	-0.000	-0.000	-4.091
12.000	-4.384	-0.000	-0.000	-0.000	-4.091
12.100	-4.372	-0.000	-0.000	-0.000	-4.161
12.200	-4.370	-0.000	-0.000	-0.000	-4.230
12.300	-4.362	-0.000	-0.000	-0.000	-4.230
12.400	-4.351	-0.000	-0.000	-0.000	-4.230
12.500	-4.346	-0.000	-0.000	-0.000	-4.300
12.600	-4.336	-0.000	-0.000	-0.000	-4.300
12.700	-4.330	-0.000	-0.000	-0.000	-4.300
12.800	-4.323	-0.000	-0.000	-0.000	-4.370
12.900	-4.316	-0.000	-0.000	-0.000	-4.370
13.000	-4.308	-0.000	-0.000	-0.000	-4.438
13.100	-4.299	-0.000	-0.000	-0.000	-4.438
13.200	-4.295	-0.000	-0.000	-0.000	-4.438
13.300	-4.284	-0.000	-0.000	-0.000	-4.508
13.400	-4.280	-0.000	-0.000	-0.000	-4.508
13.500	-4.267	-0.000	-0.000	-0.000	-4.508
13.600	-4.244	-0.000	-0.000	-0.000	-4.574
13.700	-4.197	-0.000	-0.000	-0.000	-4.574
13.800	-4.144	-0.000	-0.000	-0.000	-4.574
13.900	-4.096	-0.000	-0.000	-0.000	-4.574
14.000	-4.050	-0.000	-0.000	-0.000	-4.574
14.100	-3.965	-0.000	-0.000	-0.000	-4.574
14.200	-3.930	-0.000	-0.000	-0.000	-4.574
14.300	-3.897	-0.000	-0.000	-0.000	-4.574
14.400	-3.868	-0.000	-0.000	-0.000	-4.574
14.500	-3.841	-0.000	-0.000	-0.000	-4.574
14.600	-3.816	-0.000	-0.000	-0.000	-4.574
14.700	-3.792	-0.000	-0.000	-0.000	-4.574
14.800	-3.771	-0.000	-0.000	-0.000	-4.574
14.900	-3.750	-0.000	-0.000	-0.000	-4.574
15.000	-3.733	-0.000	-0.000	-0.000	-4.574
15.100	-3.714	-0.000	-0.000	-0.000	-4.555
15.200	-3.697	-0.000	-0.000	-0.000	-4.555
15.300	-3.670	-0.000	-0.000	-0.000	-4.555
15.400	-3.604	-0.000	-0.000	-0.000	-4.485
15.500	-3.434	-0.000	-0.000	-0.000	-4.485
15.600	-3.341	-0.000	-0.000	-0.000	-4.415
15.700	-3.253	-0.000	-0.000	-0.000	-4.415
15.800	-3.162	-0.000	-0.000	-0.000	-4.346
15.900	-3.082	-0.000	-0.000	-0.000	-4.346
16.000	-2.998	-0.000	-0.000	-0.000	-4.346
16.100	-2.927	-0.000	-0.000	-0.000	-4.277
16.200	-2.781	-0.000	-0.000	-0.000	-4.207
16.300	-2.650	-0.000	-0.000	-0.000	-4.207
16.400	-2.593	-0.000	-0.000	-0.000	-4.138
